id;long_id;description;type_of_lending;max_number_of_inverstor;available_money;amount;total;interest_rate;start_date;end_date
1;27681;optical Developer;35747;92830;98353;89113;47406;40916;2022-06-01T21:20:40;2022-06-02T03:17:31
2;72961;Bedfordshire salmon grid-enabled;83544;11081;49150;53918;54646;75740;2022-06-01T17:41:35;2022-06-02T06:27:15
3;99315;Buckinghamshire Product reboot;56878;33204;93082;84318;85224;87760;2022-06-02T09:18:48;2022-06-02T08:20:10
4;41442;generate;99737;61659;58148;18435;28624;15167;2022-06-02T08:46:12;2022-06-02T09:21:56
5;79517;transitional Neck Human;1445;22625;3183;92716;53126;15550;2022-06-02T11:34:55;2022-06-02T07:25:51
6;86273;Fish compressing indexing;68642;98519;98413;59799;23684;47766;2022-06-02T05:21:17;2022-06-02T13:51:47
7;61946;Versatile violet;92261;65607;75130;84047;6935;7522;2022-06-01T16:26:13;2022-06-01T23:46:20
8;97627;Illinois Coordinator Missouri;38657;87102;52403;40855;91943;50668;2022-06-01T19:28:45;2022-06-02T09:18:14
9;2476;Skyway microchip;93848;20913;90666;70682;531;48813;2022-06-02T13:14:47;2022-06-02T11:54:12
10;6987;line;27456;576;85463;64478;89692;86002;2022-06-02T01:52:37;2022-06-01T19:24:51
